Sample_number,run_id,run_date,sample_id,sample_operator,kit_type,date_pipeline,pipeline_iteration,pass_qc,sample_strain,sample_clade
1,1,10/21/21,HUP_18_prior,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
2,1,10/21/21,HUP_19_001,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
3,1,10/21/21,HUP_19_005,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
4,1,10/21/21,HUP_19_007,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
5,1,10/21/21,HUP_19_010,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
6,1,10/21/21,HUP_19_011,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
7,1,10/21/21,HUP_19_015,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
8,1,10/21/21,HUP_19_017,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
9,1,10/21/21,HUP_19_018,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
10,1,10/21/21,HUP_19_022,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
11,1,10/21/21,HUP_19_024,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
12,1,10/21/21,HUP_19_026,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
13,1,10/21/21,HUP_19_027,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
14,1,10/21/21,HUP_19_028,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
15,1,10/21/21,HUP_19_029,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
16,1,10/21/21,HUP_19_031,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
17,1,10/21/21,HUP_19_032,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
18,1,10/21/21,HUP_19_033,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
19,1,10/21/21,HUP_19_036,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
20,1,10/21/21,HUP_19_037,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
21,1,10/21/21,HUP_19_039,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
22,1,10/21/21,HUP_19_042,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
23,1,10/21/21,HUP_19_043,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
24,1,10/21/21,HUP_19_046,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
25,1,10/21/21,HUP_19_047,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
26,1,10/21/21,HUP_19_049,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
27,1,10/21/21,HUP_19_057,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
28,1,10/21/21,HUP_19_059,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
29,1,10/21/21,HUP_19_062,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
30,1,10/21/21,HUP_19_064,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
31,1,10/21/21,HUP_19_065,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
32,1,10/21/21,HUP_19_070,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
33,1,10/21/21,HUP_19_071,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
34,1,10/21/21,HUP_19_072,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
35,1,10/21/21,HUP_19_073,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
36,1,10/21/21,HUP_19_074,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
37,1,10/21/21,HUP_19_075,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
38,1,10/21/21,HUP_19_076,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
39,1,10/21/21,HUP_19_079,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
40,1,10/21/21,HUP_19_080,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
41,1,10/21/21,HUP_19_081,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
42,1,10/21/21,HUP_19_083,"Ashley, Lydia","NextSeq 500/550 Mid Output, 150 cycles",2/9/22,FluPipeline_updates3,,,
